movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc
almost-famous;10;Greatbeallo;/user/Greatbeallo;Jan 26, 2012;"[ ""Cameron Crowe, who was a teenage rock critic, drew upon his personal experiences to write and direct this film. It follows a teenage music critic as he joins a fictitious band, Stillwater, on their cross-country tour. It is funny, heartbreaking, historical, musically stimulating, and incredibly satisfying. A great film for anyone who is seeking to get lost in the decade of the seventies. This film is brimming over with nostalgia-inducing imagery and music."" ]";0.0;0.0;0.0;0.0;10.0
pulp-fiction;10;Greatbeallo;/user/Greatbeallo;Jan 26, 2012;"[ ""Brilliantly written. Pulp Fiction is one of the most intoxicating movies of all time. It sucks one into its twisting timelines, complicated relationships, and irresistible dialogue. It will sucker punch you and then kiss you lightly on the lips as the end credits start to roll down the screen."" ]";0.0;0.0;0.0;0.0;10.0
the-godfather;10;Greatbeallo;/user/Greatbeallo;Jan 26, 2012;"[ ""Listen up naysayers. Yeah. It does deserve a perfect score. Family. This film gives new definition to the word. The love that the Corleones have for each other in this film is so strong, yet it is also complicated. With a family business that is built upon a foundation of violence, the Corleones are destined for tragedy. Starring Marlon Brando as the Don, and Al Pacino as his son, Michael, this film is the unquestionable magnum opus of Francis Ford Coppola. This is the premier mafia motion picture."" ]";0.0;1.0;0.0;1.0;10.0
the-virgin-suicides;10;Greatbeallo;/user/Greatbeallo;Jan 27, 2012;"[ ""In Sophia Coppola's directorial debut we are witness to a series of tragic events that take place in a quiet suburban neighborhood in the 1970s. Based on the spectacular book by Jeffrey Eugenides, and featuring the music of Air, this movie is perfection. It is a hauntingly beautiful depiction of young love and the pains of shattered expectations."" ]";2.0;2.0;2.0;0.0;10.0
the-royal-tenenbaums;10;Greatbeallo;/user/Greatbeallo;Feb 19, 2012;"[ ""I have found that this movie polarizes people into two camps. You are either going to hate it or love it. I personally think that it is one of the greatest movies ever made, but I like everything that Wes Anderson has directed. It has one of the most amazing casts that has ever been assembled, and every actor shines in his/her own unique way in this movie. If you are looking for a laugh out loud comedy that is filled to the brim with sex, farts, and genitals than this is definitely not the movie for you. If, however, you are looking for a subtly funny, and deeply moving movie that has the ability to stay with you for years to come than I recommend this movie to you."", ""Side note- I don't know what it is exactly, but I am totally in love with Margot Tenenbaum. Maybe it is her wooden ring finger. Perhaps it is her black eyeliner. Maybe it is because she never really smiles. It's weird. She is so not my type, but I just want to . . ."", ""Anyways. Check this one out."" ]";1.0;1.0;1.0;0.0;10.0
amelie;10;Greatbeallo;/user/Greatbeallo;Jun  3, 2013;"[ ""This was my favorite film for years, and it is still one of my favorites. The title character is one of the greatest heroines in in movie history. Audrey Tautou seems to channel a young Audrey Hepburn in this film, and her performance is perfect. The cinematography is beautiful, the score is masterful, and the actors are wonderful. So good. So so good."" ]";3.0;4.0;3.0;1.0;10.0
raiders-of-the-lost-ark;10;Greatbeallo;/user/Greatbeallo;Feb 23, 2012;[];1.0;2.0;1.0;1.0;10.0
edward-scissorhands;10;Greatbeallo;/user/Greatbeallo;Jan 27, 2012;"[ ""Johnny Depp and Tim Burton have become a profitable duo over the past two decades. The partnership began in 1990 with the creation of this modern fairy tale.  This is my favorite of Depp's performances, as well as my favorite of Burton's films. Edward is fragile and frightening in the very same breath; a creature from a warped and dark imagination stranded in a world of pastels."" ]";1.0;1.0;1.0;0.0;10.0
fight-club;10;Greatbeallo;/user/Greatbeallo;Feb 19, 2012;"[ ""This movie revolutionized my taste in movies. I was 13 when I first saw this film, and it packed a solid punch that left me in a daze for days on end. Brad Pitt, Edward Norton, and Helena Bonham Carter are all cast to perfection. Pitt in particular is at his personal best. I loved the book by Chuck Pahlaniuk, but I feel that Fincher pumped additional life into the story. It is visionary, innovative, and singular. There have been many attempts to copycat the feeling that this movie created, but it seems like every attempt at touching the greatness of this movie have fallen flat. I don't think that everyone is going to enjoy this movie. I would never watch it with my parents for instance, but it really is great. It was once a cult hit, but it seems to have leaped forward into mainstream pop culture, and I think it deserves the attention."" ]";6.0;6.0;6.0;0.0;10.0
star-wars-episode-v---the-empire-strikes-back;10;Greatbeallo;/user/Greatbeallo;Feb  8, 2012;"[ ""Star Wars steps it up a notch in Episode V. This is a captivating piece of cinema, with some of the most iconic characters and movie moments that ever have been, and ever will be. Other movies have tried to tap into what made this film great, but the majority have failed. This is one of the most quotable movies ever. Simply flawless."" ]";2.0;2.0;2.0;0.0;10.0
